aX,aY,aZ,gX,gY,gZ
-5.4,-524.7,1488.6,1329,160,-111
-53.9,-568.4,1409.0,1237,298,-69
-102.0,-557.7,1255.3,1129,393,-3
-117.1,-526.2,1171.3,1094,403,17
-83.4,-528.4,1142.0,1070,255,-60
-44.9,-540.7,1150.9,1009,54,-140
-0.1,-549.9,1202.3,917,-103,-184
16.3,-565.5,1230.9,782,-167,-168
-17.7,-544.4,1227.8,679,-102,-82
-48.9,-523.0,1243.2,610,14,-33
-45.9,-510.4,1273.2,518,81,-32
-30.3,-510.2,1277.8,415,80,-24
-14.0,-512.5,1268.9,337,97,2
-7.6,-513.4,1237.7,262,123,54
-30.0,-494.2,1191.8,198,124,122
-69.9,-461.8,1136.1,149,86,162
-82.0,-448.4,1086.7,116,60,145
