aX,aY,aZ
374.8,62.5,1046.3
374.8,31.2,921.3
124.9,-31.2,1186.8
-281.1,-46.8,858.9
-390.4,-109.3,812.0
-171.8,-171.8,968.2
-15.6,-15.6,796.4
452.9,31.2,1061.9
421.6,46.8,1046.3
312.3,-62.5,1202.4
-218.6,62.5,1155.6
-281.1,-109.3,1077.5
-296.7,0.0,796.4
-46.8,-78.1,812.0
312.3,93.7,937.0
421.6,93.7,858.9
390.4,0.0,905.7
140.5,-15.6,1140.0
-281.1,-46.8,858.9
-390.4,-124.9,937.0
-124.9,-171.8,937.0
15.6,0.0,843.3
452.9,-62.5,812.0
421.6,78.1,890.1
281.1,-124.9,921.3
-46.8,78.1,1093.1
-265.5,-109.3,1233.7
-468.5,46.8,1140.0
-78.1,-31.2,1077.5
156.2,78.1,937.0
421.6,124.9,999.4
359.2,0.0,827.6
140.5,-31.2,1108.7
-265.5,-78.1,858.9
-390.4,-109.3,921.3
-124.9,-203.0,827.6
0.0,0.0,874.5
359.2,-62.5,765.2
406.0,62.5,952.6
359.2,-109.3,983.8
-78.1,0.0,1108.7
-249.9,-109.3,1061.9
-484.1,46.8,1233.7
-78.1,-15.6,999.4
187.4,124.9,1093.1
437.2,93.7,1015.0
374.8,62.5,765.2
124.9,-15.6,1061.9
-265.5,15.6,780.8
-406.0,-124.9,858.9
-203.0,-203.0,780.8
-62.5,-15.6,968.2
452.9,-78.1,858.9
406.0,124.9,999.4
234.2,-109.3,1249.3
-296.7,78.1,1140.0
-265.5,-124.9,1218.0
-452.9,-31.2,1061.9
-62.5,-93.7,765.2
359.2,62.5,780.8
437.2,46.8,796.4
359.2,-15.6,812.0
109.3,-15.6,937.0
-312.3,-109.3,843.3
-468.5,-46.8,921.3
-78.1,-46.8,1030.7
31.2,-15.6,1046.3
452.9,46.8,1077.5
374.8,124.9,1046.3
203.0,-62.5,1186.8
-281.1,46.8,1155.6
-296.7,-93.7,983.8
-249.9,-31.2,858.9
-31.2,-93.7,796.4
327.9,-62.5,749.6
406.0,62.5,812.0
